,EVIDENCE,KEYWORD,KEYWORD_PA
0,"Are the symptoms or pain increased with coughing, with an effort like lifting a weight or from forcing a bowel movement?",pain increased with coughing or lifting weights or forcing bowel movement,pain increased with coughing
1,Are there any members of your family who have been diagnosed myasthenia gravis?,family history with myasthenia gravis,family history with myasthenia gravis
2,Are there members of your family who have been diagnosed with pancreatic cancer?,family history with pancreatic cancer,family history with pancreatic cancer
3,Are you a former smoker?,former smoker,former smoker
4,Are you being treated for osteoporosis?,taking osteoporosis treatment,taking osteoporosis treatment
5,Are you consulting because you have high blood pressure?,high blood pressure,high blood pressure
6,Are you currently being treated or have you recently been treated with an oral antibiotic for an ear infection?,recent treatment with oral antibiotic for ear infection,recent treatment with oral antibiotic for ear infection
7,Are you currently taking or have you recently taken anti-inflammatory drugs (NSAIDs)?,intake of anti-inflammatory drugs,intake of anti-inflammatory drugs
8,Are you currently using intravenous drugs?,using intravenous drugs,taking intravenous drugs
9,Are you experiencing shortness of breath or difficulty breathing in a significant way?,shortness of breath or difficulty breathing,"shortness of breath, difficulty breathing"
10,Are you exposed to secondhand cigarette smoke on a daily basis?,exposed to secondhand cigarette smoke,exposure to secondhand cigarette smoke
11,Are you feeling nauseous or do you feel like vomiting?,nauseous or vomiting,"nauseous, vomiting"
12,Are you immunosuppressed?,immunosuppressed,immunosuppressed
13,Are you infected with the human immunodeficiency virus (HIV)?,infected with human immunodeficiency virus (HIV),infected with human immunodeficiency virus (HIV)
14,Are you more irritable or has your mood been very unstable recently?,irritable or unstable mood,"irritable, unstable mood"
15,Are you more likely to develop common allergies than the general population?,more likely to develop common allergies,less immune to common allergies
16,Are you of Asian descent?,Asian descent,Asian descent
17,Are you significantly overweight compared to people of the same height as you?,overweight,overweight
18,Are you taking any new oral anticoagulants (NOACs)?,intake of new oral anticoagulants (NOACs),intake of new oral anticoagulants (NOACs)
19,Are you unable to control the direction of your eyes?,unable to control direction of eyes,unable to control direction of eyes
20,Are your symptoms more prominent at night?,prominent symptoms at night,symptoms prominent at night
21,Are your symptoms worse when lying down and alleviated while sitting up?,symptoms worse while lying down,symptoms worse while lying down
22,Are your vaccinations up to date?,up to date vaccination,up to date vaccination
23,Characterize your pain:,pain characteristics are,pain characteristics are
